word,definition,pronunciation
Xerophytic,Able to withstand drought,seroftik
Karyology,Study of cell nuclei,karyoloj
Dabchick,Small grebe,tabkshik
Quartinvariant,An invariant of the fourth degree,kuartinfariant
Zazzy,Flashy; stylish,saz
Irrefragable,That cannot be refuted; unanswerable,irefrakable
Intinction,Administering communion by dipping bread into wine,intinkxion
Audiometer,Instrument for measuring acuity of hearing,auxiometer
Logophile,A lover of words,lokofile
Pluriliteral,Of more than three letters,pluriliteral
Triune,Trinity; three in one,triune
Medusiform,Resembling a jellyfish,metusiform
Kidology,Study of kidding,kitoloj
Versative,Flexible; adaptable,fersatife
Yuan,Flat perforated Chinese jade disk,yuan
Vigesimal,Based on the number twenty,fijesimal
Burdet,Cotton fabric,burtet
Preseminal,Before the onset of puberty; before fertility,preseminal
Podzol,Acidic soil with ash-like subsurface layer,potsol
Mezzotint,Method of copper engraving with even gradation of tones,mesotint
Arris,Sharp edge on stone; meeting of two surfaces,aris
Zoomagnetism,Animal magnetism,somaknetism
Démenti,Official denial or refusal,tementi
Jactitation,"A tossing, twitching or jerking of the body; a false claim",jaktitaxion
Jerboa,Nocturnal desert-dwelling jumping rodent,jerboa
Uranometry,Measurement of distances between heavenly bodies,uranometr
Ancillary,Auxiliary; secondary,ansilar
Klaxon,Loud mechanical horn,klakson
Ethnogeny,Study of origins of races or ethnic groups,ethnojen
Unguiform,Shaped like a claw,unkuiform
Preciation,Evaluation of the value or price of a thing,preksiaxion
Russophobia,Fear of Russia or Russians,rusofobia
Palliasse,Straw mattress,paliase
Idiolect,Distinctive individual form of speech,ixiolekt
Parcenary,Co-heirship,parsenar
Nanism,The condition of being dwarfed or being a dwarf,nanism
Wreakless,Unpunished,reakle
Manrope,Rope used as a handrail on a ship,manrope
Knickpoint,Discontinuity in river profile due to intersection of new erosion curve,nikpoin
Cozen,To coax or deceive by trickery,kosen
Tabloidese,Language typical of tabloid journalism,tabloitese
Badinage,Playful repartee or banter,batinaje
Familistery,House for communal living,familister
Methysis,Drunkenness,methsis
Quaedam,Disparaging term for a woman,kuaetam
Culver,Dove or pigeon,kulfer
Flagstaff,Flag pole at stern of a ship,flakstaf
Xylotomous,Wood-cutting; wood-boring,slotomous
Zoocytium,A hollow vessel,sostium
Quoddity,Subtle quibble or point of argument,kuotit
Wonderwork,Prodigy; miracle; thaumaturgy,wonterwork
Zograscope,Optical device for viewing stereoscopic images,sokraskope
Bigential,"Consisting of two races, genera, or subspecies",bijenxial
Elsin,Shoemaker's awl,elsin
Cable,Heavy rope or chain for mooring a ship,kable
Jutty,Projecting part of a wall,jut
Verbile,One whose mental processes are stimulated by words,ferbile
Radiesthesia,Sensitivity to radiation from any source,ratiestheksia
Attollent,Lifting up; raising,atolent
Homoplasty,Resemblance due to convergent evolution,homoplast
Kantar,Turkish unit of weight equal to approximately 100 pounds,kantar
Ontological,Based upon being or existence,ontolojikal
Exegetic,"Explanatory, especially of Scripture",eksejetik
Epideictic,Done for show or display,epiteiktik
Spintherism,Seeing of sparks before the eyes,spintherism
Morgue,Haughtiness; arrogance,morkue
Demagogue,Political agitator appealing to popular prejudices,temakokue
Zebrule,Hybrid offspring of male zebra and female horse,sebrule
Segnity,Sluggishness; slothfulness,seknit
Ripienist,Supplementary instrumentalist,ripienist
Ideography,Writing using signs representing ideas rather than sounds,iteokraf
Ogdoad,Set of eight,oktoat
Dispread,To spread in different ways,tispreat
Suppedaneum,Support under foot of crucified person,supetaneum
Xanthospermous,Having yellow seeds,santhospermous
Simony,Buying or selling of ecclesiastical offices,simon
Footling,Inept; trivial,fotlink
Paranymph,One who solicits for another; best man or bridesmaid,paranmf
Quark,Soft cheese made from skim milk,kuark
Isobathytherm,Line connecting points of equal temperature and depth underground,isobaththerm
Despotocracy,Government by despots or tyrants,tespotokras
Vestry,Priest's dressing room,festr
Wivern,Mythical two-legged winged monster,wifern
Pratal,Growing in meadows,pratal
Xylopolist,One who sells wood,slopolist
Borzoi,Wolf-hound,borsoi
Arenaceous,"Like, growing in or consisting of sand",arenaseous
Refringency,Refractivity,refrinjens
Ulatrophy,Atrophy of the gums,ulatrof
Genesiology,Study of reproduction and heredity,jeneksioloj
Floruit,Dates of a person's birth and death,floruit
Kagu,Long-legged bird of New Caledonia,kaku
Epaenetic,Eulogistic,epaenetik
Violaceous,Violet-coloured,fiolaseous
Plenicorn,Having solid horns (as a deer),plenikorn
Zooid,Asexually produced organism resembling an animal,soit
Zugtrompete,Slide trumpet,suktrompete
Dimity,Sheer and stout white cotton,timit
Rubricate,To mark in red; to fix like a ritual,rubrikate
Remanet,Postponed case or parliamentary bill,remanet
Suidian,"Of, like or pertaining to pigs",suitian
Durance,Stout heavy wool-based fabric,turanse
Floriferous,Bearing flowers,floriferous
Confelicitous,Taking pleasure in others' happiness,konfelisitous
Jordan,A chamberpot,jortan
Galago,Woolly long-tailed nocturnal lemur (bush baby),kalako
Idolomania,Obsession or devotion to idols,itolomania
Nettlesome,Irritable; difficult,netlesome
Figuline,"Of, like or pertaining to earthenware",fikuline
Haslock,Wool on sheep's throat and neck,haslok
Petaurist,Flying phalanger,petaurist
Cleg,Horse-fly,klek
Solidus,Forward slash,solitus
Youngstock,Young domestic animals,younkstok
Invultuation,The making of an image for use in witchcraft,infultuaxion
Yarborough,Hand of cards containing no card above nine,yarborouf
Rifacimento,Recasting of a literary or musical work,rifasimento
Viscometer,Instrument for measuring viscosity,fiskometer
Echidna,Australian toothless spined monotreme resembling a hedgehog,ekshitna
Crinal,Of or related to the hair,krinal
Zingiber,Ginger,sinjiber
Apograph,Exact copy; facsimile,apokraf
Untreasure,To despoil,untreasure
Extrorse,Turned outward,ekstrorse
Quidnunc,Busybody; one keenly interested in gossip,kuitnunk
Draconites,Jewel supposedly found inside a dragon's head,trakonites
Epileptology,Study of epilepsy,epileptoloj
Weatherometer,Instrument for measuring weather-resisting properties of paint,weatherometer
Vervecine,Of or pertaining to a sheep,ferfesine
Fideism,Doctrine that knowledge depends on faith over reason,fiteism
Monture,"Mounting, setting or frame",monture
Zymite,Priest using leavened bread during communion,smite
Nightpiece,Work of art describing a night scene,nitpiese
Afflatus,Inspiration; divine impetus,aflatus
Thaumatology,Study of miracles,thaumatoloj
Epaulet,Shoulder-plate of a suit of armour,epaulet
Latitant,Lurking; lying in wait; hibernating,latitant
Eyeservice,Work done while the boss is watching,eyeserfise
Judder,Strong vibration in an aircraft,juter
Zymometer,Instrument for measuring fermentation,smometer
Typology,Study of types of things,tpoloj
Exoteric,Intelligible to the uninitiated; commonplace,eksoterik
Adjudge,To decide; to award,atjujje
Ursine,"Of, like or pertaining to bears",ursine
Jovialist,A convivial person,jofialist
Ganoid,Having shiny smooth scales,kanoit
Zeppole,A variety of doughnut,sepole
Scutigerous,Bearing a shield or scales,skutijerous
Zounds,Mild oath,sounts
Spile,Device for tapping sap from maple trees,spile
Duarf,Fictitious nineteen-toed fish of Erewhon,tuarf
Spetch,Piece of undressed leather used in making glue,spetksh
Baccate,Having berries; berry-like,bakkate
Exspuition,Spitting,eksspuixion
Trionym,Name consisting of three words,trionm
Embryography,Scientific description of embryonic development,embryokraf
Gyron,Triangular heraldic charge,jron
Lutaceous,"Of, like or pertaining to or comprised of mud",lutaseous
Zokor,Central Asian mole-like burrowing rodent,sokor
Flambeau,Flaming torch,flambeau
Passacaglia,Slow solemn Italian or Spanish dance,pasakaklia
Jitney,Small passenger vehicle,jitne
Agoraphobia,Fear of open spaces,akorafobia
Trilaminar,Having three layers,trilaminar
Gynocentric,Focused on or concerned with women,jnosentrik
Wordish,Verbose,wortiksh
Megalith,Large rough stone used as a monument,mekalith
Koine,Dialect that spreads to become common language of a region,koine
Oratiuncle,Short oration,oratiunkle
Chronography,Writing or written work describing chronological events,shronokraf
Irrumpent,Bursting or breaking in,irumpent
Zoometry,Measurement of animals,sometr
Grallatory,"Of, like or pertaining to wading birds",kralator
Vibratile,Capable of vibratory motion,fibratile
Grebe,Diving bird resembling the loon,krebe
Colation,Filtration,kolaxion
Outwith,Outside of,outwith
Ursal,Fur seal,ursal
Spondyle,Vertebra,spontle
Gallet,To fill in mortar joints with small pebbles,kalet
Viridian,Chrome green,firitian
Roborate,To strengthen; to corroborate,roborate
Philoprogenitive,"Of, like or pertaining to instinctive love for offspring",filoprojenitife
Galbanum,Nonsense; a kind of gum resin,kalbanum
Hastate,Spear-shaped,hastate
Jackstay,Iron or wooden bar running along yard of ship to which sails fastened,jaksta
Saturnalian,Riotously merry,saturnalian
Subinfeudate,To grant to another land held by another feudal lord,subinfeutate
Quarterlight,Small triangular ventilation window in a car,kuarterlit
Debouch,To issue or emerge; to flow from a confined place,tebouksh
Isogonal,Having equal angles,isokonal
Zumbooruk,Small cannon carried on the back of a camel,sumboruk
Krobylos,Tuft of hair on the top of the head,kroblos
Kouros,Statue of a nude male,kouros
Fatalism,Doctrine that events are fixed and humans are powerless,fatalism
Fluorography,Radiographic imagery using a fluorescent screen,fluorokraf
Plagate,Marked with a streak or streaks,plakate
Gaudiloquent,Speaking joyfully or on joyful matters,kautilokuent
Undern,Light midday meal,untern
Say,Delicate woollen fabric,sa
Gundi,Desert-dwelling small rodent of northern Africa with bristles on feet,kunti
Windthrow,The blowing over of trees by the wind,wintthro
Cyanogenesis,Production of cyanide,syanojenesis
Speculum,Mirror; reflector; coloured patch on a bird's wing,spekulum
Indign,Unworthy; disgraceful; unseemly,intin
Anhelation,Shortness of breath,anhelaxion
Rufescent,Inclining to redness,rufessent
Rabble,Device for stirring molten iron in a furnace,rable
Cubation,Act of lying down or reclining,kubaxion
Cannonade,An attack with heavy artillery,kanonate
Benthic,"Of, like or pertaining to the depths of the ocean",benthik
Momilogy,Study of mummies,momiloj
Aparithmesis,Rhetorical answer to a proposition,aparithmesis
Psychrolusia,Bathing in cold water,pskshroluksia
Gurlet,Pickaxe with one pointed and one bladed end,kurlet
Orthology,Correct use of words,ortholoj
Peltastiform,Shield-shaped,peltastiform
Tittle,Dot over the letter i or j,title
Gemmeous,"Of, like or pertaining to gems; like a gem",jemeous
Psychograph,Instrument that supposedly records spirit messages,pskshokraf
Toran,Arched gateway or garland of flowers,toran
Ivorine,White and smooth like ivory,iforine
Xography,Photographic process for producing three-dimensional images,sokraf
Paralogise,To reason falsely,paralojise
Bombard,Instrument like the bassoon,bombart
Odorivector,Substance producing an odour,otorifektor
Agronomics,Study of productivity of land,akronomiks
Wastive,Liable to waste,wastife
Obturate,To stop up; to seal up,obturate
Adminicle,"That which supports or aids, especially evidence",atminikle
Ipsilateral,Occurring on the same side of the body,ipsilateral
Ylid,Compound bonding negatively charged carbon to a positively charged atom,lit
Quean,Lewd woman; hussy; woman of bad character,kuean
Dactyloscopy,Comparing fingerprints for purpose of identification,taktloskop
Almuce,Cloth or fur hood,almuse
Tremograph,Instrument for recording involuntary muscular motion,tremokraf
Standpipe,Vertical pipe for conveying gas or water to a higher level,stantpipe
Syngamy,Free interbreeding between organisms,snkam
Serous,"Of, like or pertaining to serum; watery",serous
Exsect,To cut out,ekssekt
Umbe,Around; about,umbe
Polygoneutic,Having several broods in each season,polkoneutik
Querken,To stifle; to suffocate,kuerken
Fucoid,Shaped like seaweed,fukoit
Churching,Church ceremony given to women after childbirth,shurkshink
Griseous,Pearl-grey or blue-grey; grizzled,kriseous
Bryology,The study of mosses and liverworts,bryoloj
Multivoltine,Having several broods in one season,multifoltine
Quicquidlibet,Whatever one pleases; anything whatsoever,kuikkuitlibet
Ontosophy,Knowledge of being or existence,ontosof
Yestertempest,Immediately preceding the last tempest,yestertempest
Taffrail,Rail round the stern of a ship,tafrail
Kalyptra,Veil worn by Greek women,kalptra
Adiaphorism,Doctrine of theological indifference or latitudinarianism,axiaforism
Niramiai,Period of stamping and glaring to cow sumo opponent,niramiai
Zemindar,"In colonial India, an indigenous revenue collector or landholder",semintar
Euphobia,Fear of good news,eufobia
Urticate,To sting; to flog with nettles,urtikate
Specie,Coined money,spesie
Urceiform,Shaped like a pitcher,urseiform
Guereza,Black and white Ethiopian tufted monkey,kueresa
Interrobang,Combination of exclamation point and question mark,interobank
Manubrial,Shaped like a handle,manubrial
Neoist,One who favours novelty,neoist
Thelemic,Allowing people to do as they wish,thelemik
Yale,Mythical animal resembling tusked horse with elephant's tail and used in heraldry,yale
Pelatast,Ancient Greek shield-bearing soldier,pelatast
Taperer,One who bears a taper during a religious procession,taperer
Diegesis,The narration of facts,tiejesis
Vinaya,Rules of Buddhist monastic life,finaya
